bank_txn_id,date,amount,type,counterparty_account,narration,utr_number
BNK-20260306-1012,2026-03-06,6196.94,credit,XXXXXX2489,UPI/MEERACHOPRA/9878387461/INV1012,UTR202603061012324
BNK-20260304-1029,2026-03-04,2703.38,credit,XXXXXX1998,UPI/ROHITAGARWAL/9817849494/INV1029,UTR202603041029403
BNK-20260303-1004,2026-03-03,14163.9,credit,XXXXXX2584,UPI/SNEHAREDDY/9822448136/INV1004,UTR202603031004444
BNK-20260303-1047,2026-03-03,1038.91,credit,XXXXXX8149,NEFT-CR-HDFC0006139-VIKRAMBOSE-INV1047,UTR202603031047710
BNK-20260306-1027,2026-03-06,13723.34,credit,XXXXXX8956,UPI/SANJAYKUMAR/9832321899/INV1027,UTR202603061027969
BNK-20260304-1014,2026-03-04,4083.32,credit,XXXXXX5371,UPI/ADITYABHAT/9825374874/INV1014,UTR202603041014666
BNK-20260305-1036,2026-03-05,14544.38,credit,XXXXXX5905,IMPS-P2A-9880993-ROHITSINGH-INV1036,UTR202603051036926
BNK-20260306-1001,2026-03-06,3990.17,credit,XXXXXX2424,IMPS-P2A-9823756-ANANYAKUMAR-INV1001,UTR202603061001242
BNK-20260304-1065,2026-03-04,3043.53,credit,XXXXXX7389,UPI/MANOJKUMAR/9988776655/INV1065,
BNK-20260304-1067,2026-03-04,2911.49,credit,XXXXXX1475,DIRECT-DEP-UNKNOWN-REMITTER-609232,UTR202603041067546
BNK-20260305-1049,2026-03-06,4906.31,credit,XXXXXX3041,IMPS-P2A-9854318-SHREYAAGARWAL-INV1049,UTR202603051049171
BNK-20260301-1024,2026-03-01,6542.26,credit,XXXXXX1993,IMPS-P2A-9817270-KARANCHOPRA-INV1024,UTR202603011024578
BNK-20260302-1069,2026-03-02,7755.94,credit,XXXXXX9751,DIRECT-DEP-UNKNOWN-REMITTER-752483,UTR202603021069230
BNK-20260305-1035,2026-03-05,13073.44,credit,XXXXXX8179,NEFT-CR-HDFC0003584-SNEHAREDDY-INV1035,UTR202603051035350
BNK-20260302-1023,2026-03-02,7243.42,credit,XXXXXX2545,NEFT-CR-HDFC0004119-TANVIBOSE-INV1023,UTR202603021023903
BNK-20260306-1003,2026-03-06,3640.94,credit,XXXXXX7924,NEFT-CR-HDFC0003615-SWATIAGARWAL-INV1003,UTR202603061003703
BNK-20260305-1055,2026-03-05,8583.67,credit,XXXXXX4185,BULK-SETTLEMENT-merchant_99012-INV1055,UTR202603051055744
BNK-20260304-1008,2026-03-04,5779.61,credit,XXXXXX3803,IMPS-P2A-9845833-SWATIDAS-INV1008,UTR202603041008314
BNK-20260301-1039,2026-03-01,1122.17,credit,XXXXXX3647,UPI/PRIYACHOPRA/9895511909/INV1039,UTR202603011039441
BNK-20260304-1056,2026-03-04,2545.81,credit,XXXXXX4585,UPI/MANOJRAO/9824305904/INV1056,UTR202603041056804
BNK-20260304-1059,2026-03-04,2745.45,credit,XXXXXX5050,UPI/VIKRAMDESHMUKH/9988776655/INV1059,
BNK-20260305-1016,2026-03-05,9190.12,credit,XXXXXX9689,NEFT-CR-HDFC0009837-ANANYASINGH-INV1016,UTR202603051016256
BNK-20260303-1041,2026-03-03,6630.93,credit,XXXXXX6862,NEFT-CR-HDFC0001653-MEERAAGARWAL-INV1041,UTR202603031041142
BNK-20260303-1045,2026-03-03,830.48,credit,XXXXXX2137,NEFT-CR-HDFC0005564-AMITNAIR-INV1045,UTR202603031045297
BNK-20260305-1058,2026-03-07,11221.43,credit,XXXXXX9976,IMPS-P2A-9877750-SANJAYMENON-INV1058,UTR202603051058553
BNK-20260303-1005,2026-03-03,4270.52,credit,XXXXXX3045,IMPS-P2A-9871662-ANITADAS-INV1005,UTR202603031005144
BNK-20260301-1013,2026-03-01,9454.0,credit,XXXXXX7304,IMPS-P2A-9866661-ANITAPATEL-INV1013,UTR202603011013911
BNK-20260303-1046,2026-03-03,10197.71,credit,XXXXXX2889,IMPS-P2A-9854446-ARJUNPILLAI-INV1046,UTR202603031046963
BNK-20260302-1026,2026-03-02,12982.35,credit,XXXXXX1828,NEFT-CR-HDFC0002604-SNEHABHAT-INV1026,UTR202603021026177
BNK-20260304-1025,2026-03-04,4043.94,credit,XXXXXX7912,IMPS-P2A-9870211-TANVIJOSHI-INV1025,UTR202603041025294
BNK-20260302-1044,2026-03-02,12949.22,credit,XXXXXX8541,NEFT-CR-HDFC0004269-SHREYAPATEL-INV1044,UTR202603021044979
BNK-20260306-1037,2026-03-06,2141.11,credit,XXXXXX5462,IMPS-P2A-9884252-ANANYAREDDY-INV1037,UTR202603061037209
BNK-20260304-1068,2026-03-04,3821.81,credit,XXXXXX7624,DIRECT-DEP-UNKNOWN-REMITTER-936912,UTR202603041068795
BNK-20260305-1002,2026-03-05,1830.7,credit,XXXXXX4257,IMPS-P2A-9890801-RAJESHSHARMA-INV1002,UTR202603051002338
BNK-20260303-1038,2026-03-03,3400.38,credit,XXXXXX5114,NEFT-CR-HDFC0009004-ADITYAIYER-INV1038,UTR202603031038749
BNK-20260301-1007,2026-03-01,14563.92,credit,XXXXXX5554,UPI/KARANNAIR/9823556182/INV1007,UTR202603011007975
BNK-20260304-1020,2026-03-04,13341.23,credit,XXXXXX2049,UPI/KARANDAS/9843273328/INV1020,UTR202603041020562
BNK-20260306-1011,2026-03-06,2533.07,credit,XXXXXX5304,UPI/MANOJRAO/9885345555/INV1011,UTR202603061011242
BNK-20260305-1053,2026-03-05,4039.22,credit,XXXXXX2530,IMPS-P2A-9893115-MANOJGUPTA-inv_1053,UTR202603051053779
BNK-20260303-1050,2026-03-05,4496.25,credit,XXXXXX4143,NEFT-CR-ICIC0003085-DIVYASINGH-INV1050,UTR202603031050813
BNK-20260301-1070,2026-03-01,8274.05,credit,XXXXXX1444,DIRECT-DEP-UNKNOWN-REMITTER-691807,UTR202603011070706
BNK-20260301-1022,2026-03-01,7835.93,credit,XXXXXX9834,IMPS-P2A-9875151-SURESHJOSHI-INV1022,UTR202603011022385
BNK-20260305-1048,2026-03-05,10651.66,credit,XXXXXX1027,NEFT-CR-ICIC0008144-DIVYAPATEL-INV1048,UTR202603051048294
BNK-20260303-1033,2026-03-03,4286.14,credit,XXXXXX8491,IMPS-P2A-9896637-NEHAJOSHI-INV1033,UTR202603031033234
BNK-20260303-1060,2026-03-03,5524.69,credit,XXXXXX5499,TRF FRM NAVEEN PILLAI FOR BILL INV1060 VIA CORP NETBANKING,
BNK-20260304-1028,2026-03-04,2843.93,credit,XXXXXX5673,NEFT-CR-HDFC0008454-NEHARAO-INV1028,UTR202603041028102
BNK-20260306-1015,2026-03-06,6702.04,credit,XXXXXX3927,UPI/POOJAPATEL/9845351479/INV1015,UTR202603061015564
