ledger_entry_id,order_id,merchant_id,expected_settlement_date,gross_amount,razorpay_fee,refund_amount,counterparty_name,invoice_ref,status,utr_number
LEDG-001012,order_299a2f0be,merchant_33219,2026-03-06,6291.31,94.37,0.0,Meera Chopra,INV1012,settled,UTR202603061012324
LEDG-001011,order_818f52e46,merchant_99012,2026-03-06,2571.64,38.57,0.0,Manoj Rao,INV1011,settled,UTR202603061011242
LEDG-001057,order_871b85a52,merchant_99012,2026-03-02,1552.4,31.05,0.0,Shreya Pillai,INV1057,settled,UTR202603021057355
LEDG-001155,order_6dee1143a,merchant_99012,2026-03-05,3200.0,64.0,0.0,Anita Verma,INV1055-B,settled,UTR202603051055744
LEDG-001014,order_428ec88b2,merchant_33219,2026-03-04,4145.5,62.18,0.0,Aditya Bhat,INV1014,settled,UTR202603041014666
LEDG-001023,order_fb1459d28,merchant_33219,2026-03-02,7353.73,110.31,0.0,Tanvi Bose,INV1023,settled,UTR202603021023903
LEDG-001065,order_d758a285a,merchant_19283,2026-03-04,3099.32,55.79,0.0,Manoj Kumar,INV1065,settled,
LEDG-001068,order_d431a0004,merchant_99012,2026-03-04,5617.34,112.35,0.0,Pooja Joshi,INV1068,pending,UTR-UNSETTLED-1068
LEDG-001020,order_ebcb43c5d,merchant_99012,2026-03-04,13544.4,203.17,0.0,Karan Das,INV1020,settled,UTR202603041020562
LEDG-001051,order_82f5bd9ae,merchant_44109,2026-03-04,7770.66,155.41,1942.66,Karan Rao,INV1051,settled,UTR202603041051408
LEDG-001026,order_149e17580,merchant_44109,2026-03-02,13180.05,197.7,0.0,Sneha Bhat,INV1026,settled,UTR202603021026177
LEDG-001015,order_5f5fc2ba9,merchant_19283,2026-03-06,6804.1,102.06,0.0,Pooja Patel,INV1015,settled,UTR202603061015564
LEDG-001019,order_81cd0aebf,merchant_33219,2026-03-05,13150.28,197.25,0.0,Vikram Mehta,INV1019,settled,UTR202603051019533
LEDG-001053,order_f5134ac7c,merchant_88213,2026-03-05,4121.65,82.43,0.0,Manoj Gupta,inv_1053,settled,UTR202603051053779
LEDG-001002,order_a871c3367,merchant_88213,2026-03-05,1858.58,27.88,0.0,Rajesh Sharma,INV1002,settled,UTR202603051002338
LEDG-001029,order_ddb2f7af0,merchant_99012,2026-03-04,2744.55,41.17,0.0,Rohit Agarwal,INV1029,settled,UTR202603041029403
LEDG-001049,order_e3c72fa2b,merchant_44109,2026-03-05,5006.44,100.13,0.0,Shreya Agarwal,INV1049,settled,UTR202603051049171
LEDG-001069,order_877e3fde8,merchant_99012,2026-03-04,2251.98,45.04,0.0,Sneha Verma,INV1069,pending,UTR-UNSETTLED-1069
LEDG-001031,order_30e2b38e0,merchant_88213,2026-03-01,9128.01,136.92,0.0,Anita Gupta,INV1031,settled,UTR202603011031791
LEDG-001059,order_6211dd60f,merchant_99012,2026-03-04,2795.77,50.32,0.0,Vikram Deshmukh,INV1059,settled,
LEDG-001052,order_0d760bece,merchant_33219,2026-03-03,7673.28,153.47,0.0,Neha Chopra,INV1052,settled,UTR202603031052429
LEDG-001058,order_4cfa3eeef,merchant_19283,2026-03-05,11450.44,229.01,0.0,Sanjay Menon,INV1058,settled,UTR202603051058553
LEDG-001032,order_846cdb732,merchant_33219,2026-03-05,1688.76,25.33,0.0,Aditya Sharma,INV1032,settled,UTR202603051032773
LEDG-001027,order_d2001222b,merchant_88213,2026-03-06,13932.32,208.98,0.0,Sanjay Kumar,INV1027,settled,UTR202603061027969
LEDG-001047,order_7f7a254b0,merchant_19283,2026-03-03,1054.73,15.82,0.0,Vikram Bose,INV1047,settled,UTR202603031047710
LEDG-001016,order_6b8c6b40f,merchant_33219,2026-03-05,9330.07,139.95,0.0,Ananya Singh,INV1016,settled,UTR202603051016256
LEDG-001006,order_eb54b053a,merchant_19283,2026-03-04,12526.37,187.9,0.0,Priya Agarwal,INV1006,settled,UTR202603041006733
LEDG-001013,order_805858210,merchant_44109,2026-03-01,9597.97,143.97,0.0,Anita Patel,INV1013,settled,UTR202603011013911
LEDG-001064,order_df7bd6236,merchant_99012,2026-03-04,3798.97,68.38,0.0,Suresh Iyer,INV1064,settled,
LEDG-001001,order_4ba3de143,merchant_19283,2026-03-06,4050.93,60.76,0.0,Ananya Kumar,INV1001,settled,UTR202603061001242
LEDG-001036,order_f23b4e127,merchant_33219,2026-03-05,14765.87,221.49,0.0,Rohit Singh,INV1036,settled,UTR202603051036926
LEDG-001067,order_8fa81bd40,merchant_99012,2026-03-02,6255.58,125.11,0.0,Suresh Mehta,INV1067,pending,UTR-UNSETTLED-1067
LEDG-001061,order_7d86e1c4d,merchant_44109,2026-03-04,2892.21,52.06,0.0,Priya Singh,INV1061,settled,
LEDG-001045,order_0751d3f2f,merchant_44109,2026-03-03,843.13,12.65,0.0,Amit Nair,INV1045,settled,UTR202603031045297
LEDG-001039,order_a8ed9f8b9,merchant_19283,2026-03-01,1139.26,17.09,0.0,Priya Chopra,INV1039,settled,UTR202603011039441
LEDG-001056,order_355b65593,merchant_44109,2026-03-04,2623.28,52.47,0.0,Manoj Rao,INV1056,settled,UTR202603041056804
LEDG-001018,order_144d2cf44,merchant_99012,2026-03-05,12332.34,184.99,0.0,Priya Verma,INV1018,settled,UTR202603051018878
LEDG-001072,order_f3f7945b0,merchant_44109,2026-03-01,1504.88,30.1,0.0,Aditya Reddy,INV1072,failed,
LEDG-001034,order_f8c07a48a,merchant_88213,2026-03-03,7145.14,107.18,0.0,Naveen Verma,INV1034,settled,UTR202603031034676
LEDG-001046,order_4a1cec032,merchant_99012,2026-03-03,10353.01,155.3,0.0,Arjun Pillai,INV1046,settled,UTR202603031046963
LEDG-001028,order_8d89471fb,merchant_88213,2026-03-04,2887.24,43.31,0.0,Neha Rao,INV1028,settled,UTR202603041028102
LEDG-001062,order_0fee1d428,merchant_44109,2026-03-01,3749.37,67.49,0.0,Rahul Reddy,INV1062,settled,
LEDG-001024,order_836626473,merchant_19283,2026-03-01,6641.89,99.63,0.0,Karan Chopra,INV1024,settled,UTR202603011024578
LEDG-001042,order_5e65fb46e,merchant_88213,2026-03-02,5628.34,84.43,0.0,Karan Nair,INV1042,settled,UTR202603021042673
LEDG-001063,order_04beefbf6,merchant_99012,2026-03-02,3347.79,60.26,0.0,Priya Chopra,INV1063,settled,
LEDG-001004,order_706d01a22,merchant_44109,2026-03-03,14379.59,215.69,0.0,Sneha Reddy,INV1004,settled,UTR202603031004444
LEDG-001044,order_2a98ae3e5,merchant_99012,2026-03-02,13146.42,197.2,0.0,Shreya Patel,INV1044,settled,UTR202603021044979
